time,posX,setPosX,posY,setPosY,posZ,setPosZ,angleX,setAngleX,angleY,setAngleY,angleZ,setAngleZ,m1,m2,m3,m4
000.650,0.0,0.0,0.0,0.0,2.8023672,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.655,0.0,0.0,0.0,0.0,2.8457258,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.660,0.0,0.0,0.0,0.0,2.8894172,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.665,0.0,0.0,0.0,0.0,2.9334414,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.670,0.0,0.0,0.0,0.0,2.9777985,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.675,0.0,0.0,0.0,0.0,3.0224884,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.680,0.0,0.0,0.0,0.0,3.067511,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.685,0.0,0.0,0.0,0.0,3.1128669,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.690,0.0,0.0,0.0,0.0,3.1585555,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.695,0.0,0.0,0.0,0.0,3.204577,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.700,0.0,0.0,0.0,0.0,3.2509313,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.705,0.0,0.0,0.0,0.0,3.2976184,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.710,0.0,0.0,0.0,0.0,3.3446383,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.715,0.0,0.0,0.0,0.0,3.3919911,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.720,0.0,0.0,0.0,0.0,3.4396768,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.725,0.0,0.0,0.0,0.0,3.4876952,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.730,0.0,0.0,0.0,0.0,3.5360465,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.735,0.0,0.0,0.0,0.0,3.5847306,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.740,0.0,0.0,0.0,0.0,3.6337476,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.745,0.0,0.0,0.0,0.0,3.6830974,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.750,0.0,0.0,0.0,0.0,3.7327802,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.755,0.0,0.0,0.0,0.0,3.782796,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.760,0.0,0.0,0.0,0.0,3.8331444,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.765,0.0,0.0,0.0,0.0,3.883802,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95885086,0.95885086,0.95885086,0.95885086
000.770,0.0,0.0,0.0,0.0,3.9345157,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5214119,0.5214119,0.5214119,0.5214119
000.775,0.0,0.0,0.0,0.0,3.9851203,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23559761,0.23559761,0.23559761,0.23559761
000.780,0.0,0.0,0.0,0.0,4.0355086,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04988289,0.04988289,0.04988289,0.04988289
000.785,0.0,0.0,0.0,0.0,4.0856514,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.790,0.0,0.0,0.0,0.0,4.135549,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.795,0.0,0.0,0.0,0.0,4.1852016,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.800,0.0,0.0,0.0,0.0,4.2346087,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.805,0.0,0.0,0.0,0.0,4.2837706,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.810,0.0,0.0,0.0,0.0,4.3326874,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.815,0.0,0.0,0.0,0.0,4.3813586,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.820,0.0,0.0,0.0,0.0,4.429785,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.825,0.0,0.0,0.0,0.0,4.477966,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.830,0.0,0.0,0.0,0.0,4.5259013,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.835,0.0,0.0,0.0,0.0,4.5735917,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.840,0.0,0.0,0.0,0.0,4.621037,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.845,0.0,0.0,0.0,0.0,4.6682367,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.850,0.0,0.0,0.0,0.0,4.7151914,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.855,0.0,0.0,0.0,0.0,4.761901,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.860,0.0,0.0,0.0,0.0,4.8083653,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.865,0.0,0.0,0.0,0.0,4.854584,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.870,0.0,0.0,0.0,0.0,4.900558,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.875,0.0,0.0,0.0,0.0,4.9462867,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.880,0.0,0.0,0.0,0.0,4.99177,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
