time,Xangle,Yangle,Zangle,velocityX,velocityY,velocityZ,accelX,accelY,accelZ
2.52,0.0,0.0,0.0,0.0,-15.307096,0.0,0.0,-6.424737,-0.0
2.53,0.0,0.0,0.0,0.0,-15.371387,0.0,0.0,-6.4291334,-0.0
2.54,0.0,0.0,0.0,0.0,-15.435722,0.0,0.0,-6.433552,-0.0
2.55,0.0,0.0,0.0,0.0,-15.500102,0.0,0.0,-6.4379916,-0.0
2.56,0.0,0.0,0.0,0.0,-15.564527,0.0,0.0,-6.442453,-0.0
2.57,0.0,0.0,0.0,0.0,-15.628996,0.0,0.0,-6.446936,-0.0
2.58,0.0,0.0,0.0,0.0,-15.69351,0.0,0.0,-6.451441,-0.0
2.59,0.0,0.0,0.0,0.0,-15.75807,0.0,0.0,-6.4559674,-0.0
2.60,0.0,0.0,0.0,0.0,-15.822675,0.0,0.0,-6.4605155,-0.0
2.61,0.0,0.0,0.0,0.0,-15.887325,0.0,0.0,-6.4650855,-0.0
2.62,0.0,0.0,0.0,0.0,-15.952022,0.0,0.0,-6.4696774,-0.0
2.63,0.0,0.0,0.0,0.0,-16.016764,0.0,0.0,-6.4742923,-0.0
2.64,0.0,0.0,0.0,0.0,-16.081553,0.0,0.0,-6.478928,-0.0
2.65,0.0,0.0,0.0,0.0,-16.146389,0.0,0.0,-6.4835863,-0.0
2.66,0.0,0.0,0.0,0.0,-16.211271,0.0,0.0,-6.488267,-0.0
2.67,0.0,0.0,0.0,0.0,-16.276201,0.0,0.0,-6.49297,-0.0
2.68,0.0,0.0,0.0,0.0,-16.341179,0.0,0.0,-6.4976945,-0.0
2.69,0.0,0.0,0.0,0.0,-16.406204,0.0,0.0,-6.502442,-0.0
2.70,0.0,0.0,0.0,0.0,-16.471277,0.0,0.0,-6.507212,-0.0
2.71,0.0,0.0,0.0,0.0,-16.536398,0.0,0.0,-6.5120044,-0.0
2.72,0.0,0.0,0.0,0.0,-16.601566,0.0,0.0,-6.516819,-0.0
2.73,0.0,0.0,0.0,0.0,-16.666782,0.0,0.0,-6.5216565,-0.0
2.74,0.0,0.0,0.0,0.0,-16.732048,0.0,0.0,-6.5265164,-0.0
2.75,0.0,0.0,0.0,0.0,-16.797361,0.0,0.0,-6.5313993,-0.0
2.76,0.0,0.0,0.0,0.0,-16.862724,0.0,0.0,-6.536305,-0.0
2.77,0.0,0.0,0.0,0.0,-16.928137,0.0,0.0,-6.541233,-0.0
2.78,0.0,0.0,0.0,0.0,-16.993599,0.0,0.0,-6.546184,-0.0
2.79,0.0,0.0,0.0,0.0,-17.05911,0.0,0.0,-6.5511584,-0.0
2.80,0.0,0.0,0.0,0.0,-17.124672,0.0,0.0,-6.5561557,-0.0
2.81,0.0,0.0,0.0,0.0,-17.190283,0.0,0.0,-6.5611753,-0.0
2.82,0.0,0.0,0.0,0.0,-17.255945,0.0,0.0,-6.566219,-0.0
2.83,0.0,0.0,0.0,0.0,-17.321657,0.0,0.0,-6.5712857,-0.0
2.84,0.0,0.0,0.0,0.0,-17.38742,0.0,0.0,-6.5763745,-0.0
2.85,0.0,0.0,0.0,0.0,-17.453236,0.0,0.0,-6.5814877,-0.0
2.86,0.0,0.0,0.0,0.0,-17.519102,0.0,0.0,-6.586624,-0.0
2.87,0.0,0.0,0.0,0.0,-17.58502,0.0,0.0,-6.591784,-0.0
2.88,0.0,0.0,0.0,0.0,-17.65099,0.0,0.0,-6.596967,-0.0
2.89,0.0,0.0,0.0,0.0,-17.71701,0.0,0.0,-6.6021743,-0.0
2.90,0.0,0.0,0.0,0.0,-17.783085,0.0,0.0,-6.6074047,-0.0
2.91,0.0,0.0,0.0,0.0,-17.84921,0.0,0.0,-6.6126595,-0.0
2.92,0.0,0.0,0.0,0.0,-17.91539,0.0,0.0,-6.617937,-0.0
2.93,0.0,0.0,0.0,0.0,-17.981623,0.0,0.0,-6.623239,-0.0
2.94,0.0,0.0,0.0,0.0,-18.047909,0.0,0.0,-6.6285644,-0.0
2.95,0.0,0.0,0.0,0.0,-18.114248,0.0,0.0,-6.633914,-0.0
2.96,0.0,0.0,0.0,0.0,-18.180641,0.0,0.0,-6.639288,-0.0
2.97,0.0,0.0,0.0,0.0,-18.247087,0.0,0.0,-6.6446857,-0.0
2.98,0.0,0.0,0.0,0.0,-18.31359,0.0,0.0,-6.6501074,-0.0
2.99,0.0,0.0,0.0,0.0,-18.380144,0.0,0.0,-6.6555543,-0.0
3.00,0.0,0.0,0.0,0.0,-18.446754,0.0,0.0,-6.661024,-0.0
